S05587
24-06-2016_14:34:09
Saved at time: 516427969 milliseconds
Integration time: 4000000
Scans to average: 0
Boxcar smoothing: 0
Wavelengths	Intensities
337.35134888	1987.00000000
337.80362194	2062.00000000
338.25595141	2165.00000000
338.70833725	2099.00000000
339.16077942	1980.00000000
339.61327788	1903.00000000
340.06583261	2045.00000000
340.51844356	1734.00000000
340.97111069	1821.00000000
341.42383397	1761.00000000
341.87661336	1646.00000000
342.32944883	1815.00000000
342.78234033	1807.00000000
343.23528784	1901.00000000
343.68829131	2092.00000000
344.14135070	1912.00000000
344.59446599	2017.00000000
345.04763714	1848.00000000
345.50086410	1756.00000000
345.95414684	2098.00000000
346.40748532	1910.00000000
346.86087951	1888.00000000
347.31432937	2025.00000000
347.76783486	2117.00000000
348.22139595	1939.00000000
348.67501260	1917.00000000
349.12868478	2017.00000000
349.58241244	1885.00000000
350.03619554	2031.00000000
350.49003406	1951.00000000
350.94392796	1942.00000000
351.39787720	1777.00000000
351.85188173	1919.00000000
352.30594153	1720.00000000
352.76005657	1878.00000000
353.21422679	1750.00000000
353.66845217	1997.00000000
354.12273266	1750.00000000
354.57706824	1818.00000000
355.03145886	1893.00000000
355.48590449	1972.00000000
355.94040509	1996.00000000
356.39496062	1919.00000000
356.84957105	1906.00000000
357.30423634	2015.00000000
357.75895646	2018.00000000
358.21373136	1853.00000000
358.66856102	1700.00000000
359.12344538	1968.00000000
359.57838442	1989.00000000
360.03337811	1592.00000000
360.48842639	1985.00000000
360.94352924	1683.00000000
361.39868662	1963.00000000
361.85389850	1939.00000000
362.30916483	1952.00000000
362.76448558	2026.00000000
363.21986071	1722.00000000
363.67529018	1826.00000000
364.13077397	2039.00000000
364.58631202	2166.00000000
365.04190431	1919.00000000
365.49755080	1736.00000000
365.95325145	2095.00000000
366.40900623	1764.00000000
366.86481509	2013.00000000
367.32067801	2076.00000000
367.77659494	2000.00000000
368.23256584	2055.00000000
368.68859069	1963.00000000
369.14466944	1835.00000000
369.60080206	1969.00000000
370.05698851	1803.00000000
370.51322875	1559.00000000
370.96952275	1749.00000000
371.42587047	2081.00000000
371.88227187	2094.00000000
372.33872691	2083.00000000
372.79523557	1781.00000000
373.25179780	1717.00000000
373.70841357	1938.00000000
374.16508283	1919.00000000
374.62180556	1979.00000000
375.07858171	2064.00000000
375.53541125	2048.00000000
375.99229415	2032.00000000
376.44923035	1637.00000000
376.90621984	1823.00000000
377.36326257	2021.00000000
377.82035850	1817.00000000
378.27750760	1877.00000000
378.73470984	869.00000000
379.19196516	1830.00000000
379.64927355	2043.00000000
380.10663495	1461.00000000
380.56404934	1817.00000000
381.02151668	1908.00000000
381.47903693	2092.00000000
381.93661005	1859.00000000
382.39423600	1771.00000000
382.85191476	2003.00000000
383.30964628	1879.00000000
383.76743053	1840.00000000
384.22526746	1905.00000000
384.68315705	1756.00000000
385.14109926	2045.00000000
385.59909404	1888.00000000
386.05714137	1922.00000000
386.51524120	1942.00000000
386.97339351	1863.00000000
387.43159824	1915.00000000
387.88985537	1971.00000000
388.34816486	1989.00000000
388.80652667	1896.00000000
389.26494076	2027.00000000
389.72340710	1972.00000000
390.18192566	1958.00000000
390.64049638	1929.00000000
391.09911925	2022.00000000
391.55779422	1725.00000000
392.01652125	2010.00000000
392.47530030	1942.00000000
392.93413135	1334.00000000
393.39301436	2118.00000000
393.85194927	2001.00000000
394.31093607	1688.00000000
394.76997472	1922.00000000
395.22906517	1845.00000000
395.68820739	1692.00000000
396.14740134	2033.00000000
396.60664699	2182.00000000
397.06594429	1844.00000000
397.52529322	2071.00000000
397.98469374	2025.00000000
398.44414581	1966.00000000
398.90364938	1697.00000000
399.36320444	2068.00000000
399.82281093	1985.00000000
400.28246882	1949.00000000
400.74217808	2155.00000000
401.20193867	1880.00000000
401.66175054	2009.00000000
402.12161368	2129.00000000
402.58152803	2012.00000000
403.04149356	1968.00000000
403.50151023	2417.00000000
403.96157802	3600.00000000
404.42169687	4051.00000000
404.88186676	2402.00000000
405.34208764	1952.00000000
405.80235949	2080.00000000
406.26268226	1911.00000000
406.72305591	1957.00000000
407.18348042	2286.00000000
407.64395574	2314.00000000
408.10448183	2097.00000000
408.56505866	1723.00000000
409.02568620	1871.00000000
409.48636440	1831.00000000
409.94709324	1974.00000000
410.40787266	1917.00000000
410.86870264	1712.00000000
411.32958314	2058.00000000
411.79051412	1925.00000000
412.25149554	1474.00000000
412.71252738	1743.00000000
413.17360958	2032.00000000
413.63474212	2051.00000000
414.09592496	2130.00000000
414.55715806	2277.00000000
415.01844138	1947.00000000
415.47977490	1928.00000000
415.94115856	2184.00000000
416.40259233	2242.00000000
416.86407619	1799.00000000
417.32561008	1857.00000000
417.78719398	2145.00000000
418.24882784	1962.00000000
418.71051164	2266.00000000
419.17224533	1843.00000000
419.63402887	2248.00000000
420.09586223	2189.00000000
420.55774538	2054.00000000
421.01967827	2038.00000000
421.48166087	2151.00000000
421.94369315	1931.00000000
422.40577506	2220.00000000
422.86790657	2050.00000000
423.33008764	1504.00000000
423.79231823	2272.00000000
424.25459832	2314.00000000
424.71692786	2051.00000000
425.17930681	2186.00000000
425.64173514	2116.00000000
426.10421281	2230.00000000
426.56673978	2045.00000000
427.02931602	1771.00000000
427.49194150	2210.00000000
427.95461617	2380.00000000
428.41733999	2357.00000000
428.88011294	2361.00000000
429.34293497	2383.00000000
429.80580604	1961.00000000
430.26872613	2285.00000000
430.73169519	2424.00000000
431.19471319	2324.00000000
431.65778008	2282.00000000
432.12089584	2311.00000000
432.58406043	2358.00000000
433.04727380	1759.00000000
433.51053593	2258.00000000
433.97384677	2703.00000000
434.43720630	2760.00000000
434.90061446	4722.00000000
435.36407123	11110.00000000
435.82757657	8034.00000000
436.29113044	3404.00000000
436.75473281	2814.00000000
437.21838363	2785.00000000
437.68208288	2694.00000000
438.14583051	2827.00000000
438.60962648	2395.00000000
439.07347077	2476.00000000
439.53736333	2650.00000000
440.00130413	2443.00000000
440.46529314	2701.00000000
440.92933030	2536.00000000
441.39341559	2216.00000000
441.85754898	2504.00000000
442.32173041	2564.00000000
442.78595986	2638.00000000
443.25023730	2467.00000000
443.71456267	2431.00000000
444.17893595	2756.00000000
444.64335711	2787.00000000
445.10782609	2309.00000000
445.57234287	2619.00000000
446.03690741	2701.00000000
446.50151967	2481.00000000
446.96617962	2662.00000000
447.43088721	2565.00000000
447.89564242	2810.00000000
448.36044520	2874.00000000
448.82529553	2743.00000000
449.29019335	2901.00000000
449.75513864	2581.00000000
450.22013135	2844.00000000
450.68517146	2746.00000000
451.15025892	2575.00000000
451.61539370	2562.00000000
452.08057576	2845.00000000
452.54580506	2868.00000000
453.01108157	2792.00000000
453.47640525	2839.00000000
453.94177607	2638.00000000
454.40719398	2693.00000000
454.87265895	2577.00000000
455.33817095	2673.00000000
455.80372993	2639.00000000
456.26933586	2718.00000000
456.73498870	2616.00000000
457.20068842	2850.00000000
457.66643498	2783.00000000
458.13222835	2122.00000000
458.59806847	1597.00000000
459.06395533	2603.00000000
